ICP.Seq.No,Group,Sample,Type,Easting,Northing,pH,EC.?S.cm,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn
ENVT_AR_TA_16,4,4,Soil,391318,6466670,6.45,NA,2238,1.96,18.70,2176,0.07,3.71,5.93,5.35,2532,0.69,259.5,1.97,525.83,65.32,0.21,123.5,2.21,2.66,394.8,13.98,526.41,12.33,1.02,4.45,2.95,54.03
ENVT_AR_TA_17,4,5,Soil,391337,6466647,6.44,NA,3020,2.10,13.88,1528,0.05,6.05,10.24,4.70,2720,0.88,164.6,2.36,380.25,40.12,0.23,123.3,2.71,2.30,270.1,15.71,379.67,7.98,0.96,5.68,2.12,33.17
ENVT_AR_TA_18,4,6,Soil,391380,6466689,6.66,NA,2087,1.83,11.16,1160,0.06,3.82,5.83,5.23,1824,0.54,83.3,1.58,176.12,11.66,0.15,53.5,1.72,1.27,106.3,10.64,128.16,4.84,0.70,6.09,1.43,40.56
ENVT_AR_TA_19,4,7,Soil,391395,6466693,6.28,NA,2532,1.77,6.20,470,0.03,3.71,8.45,2.84,1756,0.65,49.0,1.28,114.00,8.67,0.12,42.6,2.11,1.13,77.6,4.96,102.73,2.48,1.02,6.39,1.07,24.08
ENVT_AR_TA_20,4,8,Soil,391363,6466703,6.84,NA,2318,2.07,10.92,1342,0.08,4.77,7.27,9.51,2438,0.40,90.9,2.03,265.74,17.26,0.19,103.9,2.02,1.31,162.9,23.30,178.42,6.28,0.65,4.41,1.23,53.86
ENVT_AR_FA_22,5,1,Sediment,391393,6466405,5.96,NA,1146,1.06,5.54,370,0.05,2.16,3.05,12.46,1634,0.32,70.5,1.06,109.96,4.40,0.14,58.1,1.38,1.04,58.0,15.34,262.95,1.87,NA,3.43,1.06,12.72
ENVT_AR_FA_23,5,2,Sediment,391392,6466411,5.81,NA,1530,1.60,10.04,507,0.04,3.95,4.46,6.37,2168,NA,105.1,2.11,211.15,8.52,0.17,70.9,2.14,1.55,70.5,21.53,455.79,2.46,0.97,3.57,1.44,22.33
ENVT_AR_FA_29,5,p15s2,Soil,391094.9,6466630,6.77,177.1,3181,3.27,20.41,1984,0.05,5.07,8.98,3.98,3123,0.37,211.4,1.91,395.34,55.87,0.32,170.2,1.85,2.07,302.5,9.61,353.48,11.67,NA,5.67,3.22,21.44
ENVT_AR_FA_27,5,p16s1,Soil,391159.8,6466606,7.28,575,2126,2.05,27.39,9689,0.10,3.48,5.68,8.61,2757,0.35,230.7,1.54,1061.70,32.44,0.31,410.4,0.94,2.21,531.2,19.98,797.93,52.97,NA,5.11,2.17,51.97
ENVT_AR_FA_28,5,p16s2,Soil,391154.3,6466650,7.14,72.5,2424,1.71,12.67,1519,0.09,4.27,5.58,3.48,2146,0.36,150.4,1.75,255.02,62.76,0.20,101.5,1.23,2.29,214.2,10.47,234.58,9.34,NA,4.21,1.58,14.76
ENVT_AR_FA_26,5,p17s1,Soil,391171.1,6466645,6.72,145.6,2291,1.73,15.53,1813,0.05,3.49,5.09,3.75,2105,0.45,207.1,1.20,469.12,63.98,0.36,153.5,1.27,2.52,318.1,8.89,468.36,8.96,NA,3.84,1.75,25.84
ENVT_AR_FA_31,5,p17s2,Soil,391175,6466608,7.24,162.2,2899,1.98,11.60,2090,0.03,3.20,6.91,2.65,1807,0.21,237.8,1.17,343.45,18.70,0.18,142.9,0.93,1.14,214.7,5.19,311.91,10.39,0.68,4.13,1.06,21.83
ENVT_AR_FA_24,5,p18s1,Soil,391260.2,6466616,7.14,150.2,2831,2.49,19.92,1744,0.09,5.09,7.56,6.64,2907,0.43,261.9,1.89,573.80,65.12,0.26,172.6,1.79,3.05,422.2,20.07,509.74,9.85,NA,5.47,2.55,44.02
ENVT_AR_FA_25,5,p18s2,Soil,391248.9,6466653,6.82,152,1985,1.79,15.59,1795,0.09,3.60,5.16,5.41,2061,0.31,220.0,1.56,416.10,55.85,0.15,226.5,1.58,2.27,301.4,11.27,458.49,8.90,NA,3.90,1.88,51.83
ENVT_AR_FA_39,6,1,Soil,391314,6466637,6.02,132.1,2514,1.91,10.03,1481,0.07,4.93,6.39,3.62,2064,0.36,228.1,1.89,310.47,33.51,0.21,154.1,1.35,5.11,200.1,10.57,292.84,8.63,0.48,4.27,1.63,41.99
ENVT_AR_FA_34,6,2,Soil,391309,6466644,6.37,290,2958,1.85,22.54,2159,0.11,6.56,6.64,5.62,2995,0.66,424.3,2.98,562.98,66.55,0.22,212.8,2.59,2.01,396.4,13.55,577.91,11.88,NA,5.33,2.54,60.10
ENVT_AR_FA_6,6,S3.1,Soil,391136,6466649,7.29,254,2738,2.10,17.47,7683,0.11,5.08,6.36,6.42,2179,0.45,238.9,2.16,662.25,18.82,0.22,223.8,1.36,1.37,239.8,15.95,341.94,39.78,1.12,4.41,1.71,44.19
ENVT_AR_FA_36,6,4,Soil,391326,6466609,7.33,168.8,3153,2.32,12.92,4520,0.07,6.37,8.54,5.97,2597,0.68,196.0,2.75,367.53,41.19,0.17,140.9,2.44,1.90,232.7,12.48,245.17,29.98,0.91,5.62,2.92,30.69
ENVT_AR_FA_33,6,5,Soil,391393,6466620,7.82,111.1,2207,4.61,24.05,3232,0.39,3.09,7.86,23.01,4239,0.31,118.0,1.63,275.71,22.77,0.28,108.4,0.42,3.33,181.8,173.78,276.02,12.31,0.71,5.09,1.05,244.59
ENVT_AR_FA_7,6,S6.1,Soil,391257,6466604,6.68,133.1,2646,2.45,12.08,901,0.06,4.57,5.61,3.20,2359,0.40,151.9,1.82,278.02,47.74,0.17,120.3,1.51,2.29,220.6,10.85,268.87,4.76,NA,4.65,1.81,18.23
ENVT_AR_FA_35,6,7,Soil,391409,6466622,7.03,229.6,3137,5.19,23.82,2096,0.19,4.50,9.02,14.20,3922,0.47,227.8,1.81,333.34,31.12,0.26,84.5,1.74,2.25,272.1,44.87,297.76,9.15,0.76,6.09,2.41,119.31
NA,NA,NA,Sediment,391367,6466424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENVT_AR_FA_32,6,Sediment,Sediment,391367,6466412,NA,NA,8463,113.63,40.00,13876,0.22,14.08,26.29,87.38,36052,2.41,634.1,7.53,1664.18,36.38,14.47,1613.7,8.54,12.05,846.9,158.18,41484.84,79.19,3.18,33.62,12.32,452.16
ENVT_AR_FA_4,7,1,Soil,391257.5,6466550,5.71,83.6,1415,2.74,20.01,907,0.06,4.07,2.60,3.61,2539,0.56,90.7,1.78,251.31,35.60,0.10,84.6,2.16,3.10,151.1,27.58,118.64,4.51,NA,2.61,3.08,73.02
